t,meter_12,meter_4
2015-07-01 08:14:00,-693.707,-6253.94
2015-07-01 08:15:00,-702.326,-6344.94
2015-07-01 08:16:00,-686.934,-6273.92
2015-07-01 08:17:00,-691.364,-6407.44
2015-07-01 08:18:00,-695.788,-6336.36
2015-07-01 08:19:00,-720.034,-6513.44
2015-07-01 08:20:00,-591.911,-6212.85
2015-07-01 08:21:00,-606.75,-6378.42
2015-07-01 08:22:00,-622.626,-6284.4
2015-07-01 08:23:00,-643.712,-6462.37
2015-07-01 08:24:00,-716.97,-6591.53
2015-07-01 08:25:00,-777.702,-6572.17
2015-07-01 08:26:00,-755.982,-5875.0
2015-07-01 08:27:00,-789.566,-5693.77
2015-07-01 08:28:00,-803.312,-6547.15
2015-07-01 08:29:00,-823.315,-6484.08
2015-07-01 08:30:00,-815.131,-6763.59
2015-07-01 08:31:00,-1092.94,-7046.25
2015-07-01 08:32:00,-1156.77,-7367.37
2015-07-01 08:33:00,-1225.82,-7585.67
2015-07-01 08:34:00,-383.752,-6884.61
2015-07-01 08:35:00,-153.367,-6495.37
2015-07-01 08:36:00,-148.28,-6683.3
2015-07-01 08:37:00,-170.302,-6658.4
2015-07-01 08:38:00,-272.631,-6781.92
2015-07-01 08:39:00,-350.967,-7263.67
2015-07-01 08:40:00,-333.332,-7096.38
2015-07-01 08:41:00,-350.111,-7291.49
2015-07-01 08:42:00,-341.85,-7149.07
2015-07-01 08:43:00,-365.917,-7158.23
2015-07-01 08:44:00,-350.339,-6902.62
2015-07-01 08:45:00,-378.563,-7030.07
2015-07-01 08:46:00,-357.753,-7444.1
2015-07-01 08:47:00,-251.411,-7318.13
2015-07-01 08:48:00,-11.5949,-7169.31
2015-07-01 08:49:00,749.282,-6991.42
2015-07-01 08:50:00,282.351,-7085.49
2015-07-01 08:51:00,280.245,-6940.78
2015-07-01 08:52:00,157.222,-7294.3
2015-07-01 08:53:00,95.7062,-7243.98
2015-07-01 08:54:00,99.8808,-7389.83
2015-07-01 08:55:00,82.1678,-7285.45
2015-07-01 08:56:00,97.825,-7168.6
2015-07-01 08:57:00,66.574,-7062.11
2015-07-01 08:58:00,87.4601,-7092.59
2015-07-01 08:59:00,-792.778,-7805.14
2015-07-01 09:00:00,-780.201,-7808.56
2015-07-01 09:01:00,-798.054,-7610.73
2015-07-01 09:02:00,-600.966,-7336.06
2015-07-01 09:03:00,227.964,-6359.15
2015-07-01 09:04:00,232.042,-6490.23
2015-07-01 09:05:00,-650.262,-7414.04
2015-07-01 09:06:00,-803.708,-7480.82
2015-07-01 09:07:00,-835.08,-7742.75
2015-07-01 09:08:00,-832.014,-7621.57
2015-07-01 09:09:00,-980.248,-7901.13
2015-07-01 09:10:00,-1059.61,-7974.06
2015-07-01 09:11:00,-1074.27,-8052.16
2015-07-01 09:12:00,-1068.05,-8041.96
2015-07-01 09:13:00,-1171.41,-8271.65
2015-07-01 09:14:00,-1197.53,-8079.65
2015-07-01 09:15:00,-579.835,-7674.84
2015-07-01 09:16:00,-543.346,-7389.51
2015-07-01 09:17:00,-549.618,-7545.26
2015-07-01 09:18:00,-537.109,-7329.46
2015-07-01 09:19:00,-576.749,-7569.21
2015-07-01 09:20:00,-875.118,-7625.26
2015-07-01 09:21:00,-947.104,-7859.83
2015-07-01 09:22:00,-935.609,-7882.61
2015-07-01 09:23:00,-949.15,-8136.9
2015-07-01 09:24:00,-949.122,-8015.32
2015-07-01 09:25:00,-1075.35,-8155.35
2015-07-01 09:26:00,-996.004,-7944.44
2015-07-01 09:27:00,-971.957,-8082.34
2015-07-01 09:28:00,-1240.11,-8167.27
2015-07-01 09:29:00,-1114.81,-8134.85
2015-07-01 09:30:00,-662.966,-7534.68
2015-07-01 09:31:00,-750.525,-7733.65
2015-07-01 09:32:00,-760.883,-7699.11
2015-07-01 09:33:00,-796.273,-7915.7
2015-07-01 09:34:00,2965.1,-8174.81
2015-07-01 09:35:00,2950.62,-8078.93
2015-07-01 09:36:00,2948.64,-8247.74
2015-07-01 09:37:00,2931.0,-3901.51
2015-07-01 09:38:00,2931.12,-3955.8
2015-07-01 09:39:00,-965.744,-4027.79
2015-07-01 09:40:00,-969.795,-4100.7
2015-07-01 09:41:00,-1261.84,-8485.23
2015-07-01 09:42:00,-1350.43,-8762.98
2015-07-01 09:43:00,-1259.48,-8307.59
2015-07-01 09:44:00,-1221.76,-8459.61
2015-07-01 09:45:00,-1309.28,-8543.08
2015-07-01 09:46:00,-1350.87,-8603.69
2015-07-01 09:47:00,-1458.22,-8911.44
2015-07-01 09:48:00,-1662.66,-9022.91
2015-07-01 09:49:00,-1693.81,-9276.68
2015-07-01 09:50:00,-1691.53,-9146.06
2015-07-01 09:51:00,-1765.48,-9666.87
2015-07-01 09:52:00,2155.51,-5280.11
2015-07-01 09:53:00,2160.91,-5301.92
2015-07-01 09:54:00,2164.24,-5333.03
2015-07-01 09:55:00,2157.13,-5365.17
2015-07-01 09:56:00,2163.62,-9688.47
2015-07-01 09:57:00,-1596.12,-9461.02
2015-07-01 09:58:00,-1634.52,-9483.95
2015-07-01 09:59:00,-1635.33,-9476.73
